X,Y,fid,id,left,top,right,bottom,row_index,col_index,ELEV_1
182922.790326637,5025761.41821422,93,93,182672.790326637,5026011.41821422,183172.790326637,5025511.41821422,26,2,222.129028320312
182922.790326637,5025261.41821422,94,94,182672.790326637,5025511.41821422,183172.790326637,5025011.41821422,27,2,222.98127746582
182922.790326637,5024761.41821422,95,95,182672.790326637,5025011.41821422,183172.790326637,5024511.41821422,28,2,219.060897827148
182922.790326637,5024261.41821422,96,96,182672.790326637,5024511.41821422,183172.790326637,5024011.41821422,29,2,227.015655517578
182922.790326637,5023761.41821422,97,97,182672.790326637,5024011.41821422,183172.790326637,5023511.41821422,30,2,231.585083007812
182922.790326637,5023261.41821422,98,98,182672.790326637,5023511.41821422,183172.790326637,5023011.41821422,31,2,235.044555664062
182922.790326637,5022761.41821422,99,99,182672.790326637,5023011.41821422,183172.790326637,5022511.41821422,32,2,228.672500610352
183422.790326637,5038761.41821422,100,100,183172.790326637,5039011.41821422,183672.790326637,5038511.41821422,0,3,258.246887207031
183422.790326637,5038261.41821422,101,101,183172.790326637,5038511.41821422,183672.790326637,5038011.41821422,1,3,251.151992797852
183422.790326637,5037761.41821422,102,102,183172.790326637,5038011.41821422,183672.790326637,5037511.41821422,2,3,247.322174072266
183422.790326637,5037261.41821422,103,103,183172.790326637,5037511.41821422,183672.790326637,5037011.41821422,3,3,246.837844848633
183422.790326637,5036761.41821422,104,104,183172.790326637,5037011.41821422,183672.790326637,5036511.41821422,4,3,246.457565307617
183422.790326637,5036261.41821422,105,105,183172.790326637,5036511.41821422,183672.790326637,5036011.41821422,5,3,245.997680664062
183422.790326637,5035761.41821422,106,106,183172.790326637,5036011.41821422,183672.790326637,5035511.41821422,6,3,246.766540527344
183422.790326637,5035261.41821422,107,107,183172.790326637,5035511.41821422,183672.790326637,5035011.41821422,7,3,258.858795166016
183422.790326637,5034761.41821422,108,108,183172.790326637,5035011.41821422,183672.790326637,5034511.41821422,8,3,261.018035888672
183422.790326637,5034261.41821422,109,109,183172.790326637,5034511.41821422,183672.790326637,5034011.41821422,9,3,259.881439208984
183422.790326637,5033761.41821422,110,110,183172.790326637,5034011.41821422,183672.790326637,5033511.41821422,10,3,247.786178588867
183422.790326637,5033261.41821422,111,111,183172.790326637,5033511.41821422,183672.790326637,5033011.41821422,11,3,245.935333251953
183422.790326637,5032761.41821422,112,112,183172.790326637,5033011.41821422,183672.790326637,5032511.41821422,12,3,254.692138671875
183422.790326637,5032261.41821422,113,113,183172.790326637,5032511.41821422,183672.790326637,5032011.41821422,13,3,266.008361816406
