id,x,y,estimation,variance
178,184422.790326,5032761.418214,3.1004023857178487,5.464892590558375
179,184422.790326,5032261.418214,3.0994199436519527,5.464530048277364
180,184422.790326,5031761.418214,3.077290054062309,5.455917302015508
181,184422.790326,5031261.418214,3.0298142282226297,5.434556384207075
182,184422.790326,5030761.418214,2.9620689255256822,5.397263885573735
183,184422.790326,5030261.418214,2.879292229354928,5.340823844520395
184,184422.790326,5029761.418214,2.787578390597569,5.264324858543002
185,184422.790326,5029261.418214,2.708514046989584,5.186593871818237
186,184422.790326,5028761.418214,2.7695180772891432,5.247530568608307
187,184422.790326,5028261.418214,2.861921338624133,5.327461646012227
188,184422.790326,5027761.418214,2.9469734646675203,5.387862848313136
189,184422.790326,5027261.418214,3.0180627848146764,5.428661653821791
190,184422.790326,5026761.418214,3.0621487451857887,5.449703766732472
191,184422.790326,5026261.418214,3.058235613217865,5.446409831554836
192,184422.790326,5025761.418214,3.0105129559935366,5.420189398139701
193,184422.790326,5025261.418214,2.946051126812484,5.3777167011665465
194,184422.790326,5024761.418214,2.876011286175514,5.321707809493851
195,184422.790326,5024261.418214,2.8186705659805646,5.268208438200174
196,184422.790326,5023761.418214,2.8181441955411866,5.267685446463472
197,184422.790326,5023261.418214,2.875047160183253,5.320865167449752
198,184422.790326,5022761.418214,2.945078613674515,5.377009319235063
199,184922.790326,5038761.418214,3.1004023857178487,5.464892590558375
200,184922.790326,5038261.418214,3.1004023857178487,5.464892590558375
201,184922.790326,5037761.418214,3.1004023857178487,5.464892590558375
202,184922.790326,5037261.418214,3.1004023857178487,5.464892590558375
203,184922.790326,5036761.418214,3.1004023857178487,5.464892590558375
204,184922.790326,5036261.418214,3.1004023857178487,5.464892590558375
205,184922.790326,5035761.418214,3.1004023857178487,5.464892590558375
206,184922.790326,5035261.418214,3.1004023857178487,5.464892590558375
207,184922.790326,5034761.418214,3.1004023857178487,5.464892590558375
208,184922.790326,5034261.418214,3.1004023857178487,5.464892590558375
209,184922.790326,5033761.418214,3.1004023857178487,5.464892590558375
210,184922.790326,5033261.418214,3.1004023857178487,5.464892590558375
211,184922.790326,5032761.418214,3.1004023857178487,5.464892590558375
212,184922.790326,5032261.418214,3.1001947557724665,5.464816111024705
213,184922.790326,5031761.418214,3.0827246215323134,5.458111562614662
214,184922.790326,5031261.418214,3.0410800106696945,5.439981212608962
215,184922.790326,5030761.418214,2.9813286046796628,5.408680873755269
216,184922.790326,5030261.418214,2.911112900661373,5.363935261737693
217,184922.790326,5029761.418214,2.8432508188801666,5.312512514037159
218,184922.790326,5029261.418214,2.8063489212423263,5.281176282424476
219,184922.790326,5028761.418214,2.832333570600528,5.3034893970567705
220,184922.790326,5028261.418214,2.8971511011540776,5.354012368664202
221,184922.790326,5027761.418214,2.9681997704899503,5.400968306252074
222,184922.790326,5027261.418214,3.030547219789841,5.4346501594211825
223,184922.790326,5026761.418214,3.0729977874562526,5.453693558860054
224,184922.790326,5026261.418214,3.072764246988598,5.452834812268112
225,184922.790326,5025761.418214,3.0341003112412053,5.433556712416236
226,184922.790326,5025261.418214,2.983822977345556,5.403659135832513
227,184922.790326,5024761.418214,2.9337492720129372,5.368622748653221
228,184922.790326,5024261.418214,2.899772087598161,5.341859696577486
229,184922.790326,5023761.418214,2.8995030581748016,5.341638144224809
230,184922.790326,5023261.418214,2.933113673444029,5.368144284906886
231,184922.790326,5022761.418214,2.983086484931541,5.403181850264628
232,185422.790326,5038761.418214,3.1004023857178487,5.464892590558375
233,185422.790326,5038261.418214,3.1004023857178487,5.464892590558375
234,185422.790326,5037761.418214,3.1004023857178487,5.464892590558375
235,185422.790326,5037261.418214,3.1004023857178487,5.464892590558375
236,185422.790326,5036761.418214,3.1004023857178487,5.464892590558375
237,185422.790326,5036261.418214,3.1004023857178487,5.464892590558375
238,185422.790326,5035761.418214,3.1004023857178487,5.464892590558375
239,185422.790326,5035261.418214,3.1004023857178487,5.464892590558375
240,185422.790326,5034761.418214,3.1004023857178487,5.464892590558375
241,185422.790326,5034261.418214,3.1004023857178487,5.464892590558375
242,185422.790326,5033761.418214,3.1004023857178487,5.464892590558375
243,185422.790326,5033261.418214,3.1004023857178487,5.464892590558375
244,185422.790326,5032761.418214,3.1004023857178487,5.464892590558375
245,185422.790326,5032261.418214,3.1004023857178487,5.464892590558375
246,185422.790326,5031761.418214,3.091849980318329,5.461680071793248
247,185422.790326,5031261.418214,3.0614269739878357,5.449217602199728
248,185422.790326,5030761.418214,3.015764313877281,5.4274805194690074
249,185422.790326,5030261.418214,2.964006821516367,5.3984419484238755
250,185422.790326,5029761.418214,2.919173773526065,5.369509348252832
251,185422.790326,5029261.418214,2.898379558381704,5.354899104931346
252,185422.790326,5028761.418214,2.9127002282557015,5.36504186447533
253,185422.790326,5028261.418214,2.9537142174488578,5.391047149772469
254,185422.790326,5027761.418214,3.004031117178169,5.417332567008001
255,185422.790326,5027261.418214,3.050518942851741,5.437221671824904
256,185422.790326,5026761.418214,3.0840310196817935,5.450017097252295
257,185422.790326,5026261.418214,3.086340155205292,5.4518481534774335
258,185422.790326,5025761.418214,3.0609735065136783,5.4434031302192585
259,185422.790326,5025261.418214,3.027762273153681,5.4290854727689695
260,185422.790326,5024761.418214,2.9952183189449086,5.41089920227017
261,185422.790326,5024261.418214,2.974416935477852,5.397478170229126
262,185422.790326,5023761.418214,2.9742590588186055,5.397372844669463
263,185422.790326,5023261.418214,2.9948150712551214,5.4106476373589105
264,185422.790326,5022761.418214,3.027727850533124,5.4300601721782495
265,185922.790326,5038761.418214,3.1004023857178487,5.464892590558375
266,185922.790326,5038261.418214,3.1004023857178487,5.464892590558375
267,185922.790326,5037761.418214,3.1004023857178487,5.464892590558375
268,185922.790326,5037261.418214,3.1004023857178487,5.464892590558375
269,185922.790326,5036761.418214,3.1004023857178487,5.464892590558375
270,185922.790326,5036261.418214,3.1004023857178487,5.464892590558375
271,185922.790326,5035761.418214,3.1004023857178487,5.464892590558375
272,185922.790326,5035261.418214,3.1004023857178487,5.464892590558375
273,185922.790326,5034761.418214,3.1004023857178487,5.464892590558375
274,185922.790326,5034261.418214,3.1004023857178487,5.464892590558375
275,185922.790326,5033761.418214,3.1004023857178487,5.464892590558375
276,185922.790326,5033261.418214,3.1004023857178487,5.464892590558375
277,185922.790326,5032761.418214,3.1004023857178487,5.464892590558375
278,185922.790326,5032261.418214,3.1004023857178487,5.464892590558375
279,185922.790326,5031761.418214,3.099311977449492,5.464490103687999
280,185922.790326,5031261.418214,3.0831957540227046,5.458299358987586
281,185922.790326,5030761.418214,3.0536974776509833,5.445793948049387
282,185922.790326,5030261.418214,3.019625174616791,5.429459268037196
283,185922.790326,5029761.418214,2.991299455318172,5.414337178067193
284,185922.790326,5029261.418214,2.9788328412440195,5.4072379154400405
285,185922.790326,5028761.418214,2.986378459334251,5.409486312560247
286,185922.790326,5028261.418214,3.009769575042075,5.416140268958691
287,185922.790326,5027761.418214,3.0404972640690437,5.422747384587119
288,185922.790326,5027261.418214,3.0691784180807193,5.4274173446289895
289,185922.790326,5026761.418214,3.0876217589716606,5.431441216429414
290,185922.790326,5026261.418214,3.0903447267434134,5.435776710866089
291,185922.790326,5025761.418214,3.080834300558397,5.439726040415448
292,185922.790326,5025261.418214,3.0643098254489183,5.440890159941678
